Time [s],Heat flux [W],,,
,,,Time,experiment heatflux
,,,700.728,1607.9479
,,,701.789,1589.2364
,,,702.842,1649.1629
,,,703.902,1575.5518
,,,704.964,1580.9223
,,,706.033,1602.2769
,,,707.087,1592.7225
,,,708.159,1591.8314
,,,709.231,1596.8495
,,,710.312,1558.3244
,,,711.381,1556.4699
,,,712.436,1565.6429
,,,713.497,1563.143
,,,714.557,1602.5236
,,,715.615,1610.2123
,,,716.687,1562.2079
,,,717.738,1556.7162
,,,718.8,1614.5873
,,,719.86,1554.401
,,,720.935,1598.0543
,,,721.988,1585.3564
,,,723.061,1572.8535
,,,724.14,1581.911
,,,725.214,1579.5731
,,,726.274,1546.9449
,,,727.327,1583.1736
,,,728.406,1571.957
,,,729.462,1610.3613
,,,730.525,1565.9183
,,,731.585,1578.5204
,,,732.644,1596.7233
,,,733.709,1576.769
,,,734.772,1587.8465
,,,735.831,1575.6529
,,,736.892,1578.9273
,,,737.954,1530.2116
,,,739.027,1566.0773
,,,740.1,1581.9915
,,,741.159,1567.2995
,,,742.211,1579.2405
,,,743.275,1571.2372
,,,744.334,1565.8495
,,,745.398,1557.0685
,,,746.475,1594.8499
,,,747.537,1622.0058
,,,748.603,1594.6722
,,,749.663,1552.0999
,,,750.723,1611.1179
,,,751.797,1586.315
,,,752.867,1592.5717
,,,753.926,1584.4702
,,,754.993,1544.8886
,,,756.065,1563.4075
,,,757.119,1604.7509
,,,758.193,1567.6972
,,,759.256,1535.181
,,,760.328,1568.552
,,,761.392,1603.0541
,,,762.446,1541.5082
,,,763.517,1607.1829
,,,764.581,1527.1227
,,,765.64,1600.9926
,,,766.704,1612.2041
,,,767.756,1568.1606
,,,768.815,1559.4004
,,,769.874,1564.9718
,,,770.948,1581.1169
,,,772,1550.8983
,,,773.069,1544.7447
,,,774.132,1534.6661
,,,775.203,1557.8901
,,,776.258,1578.1402
,,,777.312,1585.6428
,,,778.373,1583.9896
,,,779.435,1558.3299
,,,780.513,1600.1416
,,,781.565,1545.6119
,,,782.616,1575.7719
,,,783.676,1568.3534
,,,784.747,1559.364
,,,785.811,1535.1037
,,,786.872,1543.815
,,,787.933,1548.457
,,,789.006,1549.5876
,,,790.065,1569.5389
,,,791.151,1579.3524
,,,792.208,1567.4322
,,,793.274,1534.9776
,,,794.347,1573.646
,,,795.409,1554.5346
,,,796.472,1570.6585
,,,797.533,1498.7597
,,,798.594,1559.341
,,,799.653,1546.4449
